Salario,Idade,Marca,Nome,Ano,Valor_Carro,Valor_Seguro
12960.72,43,Ford,Mustang,2019,376522.61,21927.39
3404.44,36,Hyundai,Kona,2023,145543.99,8330.2
10143.17,45,Toyota,Yaris Sedan,2025,105554.45,4286.49
5594.28,56,Honda,City,2025,100739.55,4277.63
5446.84,35,Fiat,Palio,2016,19552.95,1344.18
6770.26,35,BYD,King,2016,73751.62,3436.9
7475.25,56,Suzuki,Swift,2010,22000.0,1100.0
2799.45,47,Hyundai,Santa Fe,2024,267992.13,13478.11
14224.47,32,GWM,Tank 300,2014,151250.27,10306.89
13896.19,44,Jeep,Grand Cherokee,2018,203015.74,12140.72
5862.93,32,Renault,Clio,2021,23452.73,1170.26
10973.29,32,Volkswagen,Voyage,2025,67511.13,3647.09
5498.79,40,Chevrolet,Tracker,2008,22305.07,1140.18
3072.74,18,Renault,Fluence,2019,29209.8,2499.25
5605.81,18,Fiat,Punto,2023,44257.87,4095.69
3205.45,31,Kia,Soul,2025,60105.18,3106.95
8409.61,25,GWM,Haval H6,2015,83390.84,6648.05
4652.76,41,Volkswagen,Golf,2015,42438.58,2064.7
2388.91,27,Fiat,Fiorino,2024,102600.42,6242.8
1600.0,21,Peugeot,2008,2023,104347.76,7442.75
7379.45,55,Toyota,Corolla,2007,47570.55,2606.61
7932.25,35,Honda,City,2024,105575.3,5041.74
14750.48,38,Subaru,XV,2013,49584.49,2833.98
2035.28,20,Renault,Logan,2018,53399.42,5660.08
11337.92,31,Peugeot,3008,2015,85069.13,4550.48
5169.55,39,Suzuki,Jimny,2024,87821.16,3198.34
5633.96,24,Fiat,Cronos,2025,91264.91,9417.43
7084.87,42,Volkswagen,Fox,2021,43278.71,1915.37
6208.84,30,Citroen,C4 Lounge,2008,14000.0,1100.0
2004.56,34,Fiat,Cronos,2021,70939.29,3810.6
9461.15,30,Volkswagen,Fox,2023,46853.38,2717.41
13440.35,60,Suzuki,Swift,2023,44138.76,2432.82
11707.28,37,Fiat,Strada,2013,47732.17,3448.89
7837.05,25,Ford,Fiesta,2024,50752.94,3554.07
6562.92,47,Chevrolet,Celta,2014,14000.0,1100.0
2463.1,23,Fiat,Strada,2023,98254.25,8979.29
8983.07,40,BYD,Yuan Plus,2024,192599.43,12908.07
5554.44,18,Hyundai,Creta,2023,113232.9,11288.75
5695.14,22,Honda,WR-V,2022,82209.63,6795.77
8942.11,40,Mitsubishi,Outlander,2023,206851.7,12439.99
7143.37,46,Hyundai,Santa Fe,2024,245980.09,13376.51
5353.02,40,Volkswagen,Fox,2017,25996.2,1265.71
3356.18,36,Fiat,Palio,2014,14000.0,1100.0
6495.9,34,Fiat,Titano,2021,158962.7,6593.01
13085.32,20,Honda,Fit,2022,50841.39,4447.48
3259.4,29,Jeep,Compass,2024,173084.43,10440.36
11419.56,32,Ford,Mustang,2022,360571.69,19167.4
11509.14,50,CAOA Chery,iCar,2022,102807.55,5263.84
2615.85,42,Citroen,C4 Cactus,2009,26606.73,1517.71
7730.6,18,BYD,Seal,2020,214318.13,19947.68
7067.2,41,Chevrolet,Corsa,2008,14000.0,1100.0
6145.33,33,GWM,Ora 03,2011,36116.85,1679.2
19665.82,29,Mitsubishi,Pajero Sport,2024,328479.88,18021.6
12541.14,45,Jeep,Compass,2014,78099.91,4756.98
4438.89,50,Chevrolet,Montana,2025,118110.0,5454.88
10922.18,49,Citroen,C4 Cactus,2021,79677.02,2973.36
3550.49,27,Chevrolet,Corsa,2023,33994.55,2624.61
3924.4,34,Ford,Focus,2025,63260.67,3944.81
7675.11,41,Nissan,March,2020,32383.98,1461.44
14887.24,49,BMW,330e,2024,410930.7,27375.89
2693.66,32,Citroen,C3 Aircross,2008,25195.14,1369.5
4917.16,35,Chevrolet,Prisma,2018,39378.0,2019.32
11548.43,24,Chevrolet,S10,2019,153364.54,12516.29
3344.07,23,Volkswagen,Voyage,2017,34263.86,2976.83
7536.66,47,Fiat,Siena,2010,15650.82,1100.0
6577.31,54,CAOA Chery,Tiggo 2,2019,52333.43,2600.38
14093.72,37,GWM,Haval H6 GT,2013,110729.8,6447.94
9149.02,50,Jeep,Cherokee,2023,133446.94,6636.01
5937.88,42,Toyota,Yaris,2006,22000.0,1255.27
3845.02,30,Citroen,C4 Lounge,2018,41458.75,1977.95
23940.0,42,Citroen,C4 Lounge,2020,49053.83,2490.95
7667.29,56,Hyundai,ix35,2020,63884.1,3530.96
5894.92,37,Chevrolet,Onix Plus,2019,56093.63,3084.08
10703.1,56,Nissan,March,2025,60478.61,3160.48
8241.54,18,BYD,King,2018,98318.1,9265.51
3285.49,47,Hyundai,ix35,2025,85642.13,5289.75
6141.92,39,CAOA Chery,Tiggo 5X,2022,102914.85,4051.03
3499.46,34,Chevrolet,Prisma,2023,57998.99,2653.84
4942.66,39,Volkswagen,Saveiro,2021,70383.68,3255.76
11368.76,18,Suzuki,Jimny,2024,89133.94,7547.13
12857.33,35,Volvo,EX30,2025,213636.07,12929.35
9935.55,42,Hyundai,Tucson,2010,65062.65,2415.6
3516.11,55,Peugeot,2008,2024,110454.83,4619.5
7036.46,31,Volkswagen,Up,2022,43229.93,2115.13
4376.2,28,Peugeot,206,2019,15811.2,1128.01
11224.82,31,Fiat,Fastback,2020,95000.91,5070.79
5386.75,48,Citroen,C3,2018,49683.66,2902.41
4326.2,41,Renault,Kwid,2012,25903.21,1560.06
7783.5,31,Honda,Civic,2019,100048.22,4317.11
14548.52,44,CAOA Chery,Arrizo 6,2007,27315.62,1595.93
12739.95,39,Peugeot,308,2010,17206.7,1100.0
16011.77,49,CAOA Chery,Tiggo 7 Pro,2013,79869.94,3433.05
13196.92,29,Kia,Soul,2021,61757.77,3652.55
16802.29,34,Kia,Niro,2006,33052.28,2129.35
7162.49,33,GWM,Ora 03,2018,76044.62,5537.3
4301.88,20,Peugeot,206,2025,27470.02,2222.28
4332.55,41,Chevrolet,Spin,2016,45700.6,2661.84
13983.35,41,Chevrolet,Spin,2024,102903.79,4831.14
6143.1,38,Fiat,Punto,2018,25260.69,1453.04
3885.28,35,Fiat,Pulse,2009,27977.83,1780.44
7630.68,21,Toyota,SW4,2023,317716.95,23848.28
2756.68,32,Citroen,C4 Cactus,2016,55424.72,2582.69
3447.52,33,Ford,Fusion,2023,97289.62,4969.16
6931.49,28,Toyota,Hilux,2021,246288.11,14853.58
11097.96,36,Peugeot,208,2012,35023.44,2043.84
5827.99,42,Audi,Q5,2025,450679.62,29761.83
7238.29,60,Toyota,Hilux,2016,134693.86,8619.61
10929.26,40,Audi,Q7,2017,279167.56,16426.08
11311.13,41,Renault,Kardian,2017,55195.58,3568.89
2017.73,37,Chevrolet,Astra,2021,32504.84,1814.78
12838.65,18,Kia,Cerato,2022,96839.16,9007.36
5560.12,37,Volkswagen,Nivus,2023,104956.78,4679.46
4403.45,38,Fiat,Punto,2006,14000.0,1100.0
6623.21,67,Volkswagen,T-Cross,2020,99196.12,5818.45
2984.52,35,Chevrolet,Cruze,2022,114013.65,6645.71
30639.46,41,Lexus,RX 450h,2016,253786.36,15911.32
3152.91,37,CAOA Chery,Tiggo 2,2020,59832.77,2454.41
2419.69,23,Fiat,Mobi,2019,44722.72,4619.29
6592.13,51,Jeep,Cherokee,2015,56210.23,3001.2
3324.26,47,Fiat,Titano,2008,57093.9,3145.11
7943.36,47,BYD,Seal,2021,201288.73,11205.59
15659.1,27,Audi,e-tron,2013,212577.64,16112.38
8667.93,54,Volkswagen,Golf,2018,69346.16,3341.95
6859.13,21,Fiat,Fiorino,2018,64546.54,6230.49
6136.73,45,CAOA Chery,Arrizo 6,2025,130067.22,7636.07
4677.31,64,Chevrolet,Prisma,2022,57677.34,3843.74
5043.08,26,Honda,HR-V,2013,52735.66,3888.15
11640.53,31,Honda,Civic,2016,92513.35,3708.19
15069.89,39,Kia,Cerato,2008,27175.82,1498.29
6468.55,31,Hyundai,HB20,2019,52951.68,2197.24
9148.74,19,Nissan,Sentra,2022,112047.72,8018.33
4331.91,38,Toyota,Camry,2012,143004.95,6981.37
4134.26,25,Chevrolet,Onix Plus,2019,54066.66,3698.94
2818.42,43,Peugeot,3008,2020,170660.17,7202.3
11368.53,26,Ford,EcoSport,2025,95142.53,6474.21
5736.4,56,Fiat,Punto,2019,33796.57,1795.02
2828.65,28,Peugeot,208,2017,41431.39,2748.41
8718.17,34,BMW,320i,2010,94505.23,6210.59
16130.57,47,Peugeot,2008,2010,36051.54,1714.93
4653.37,23,Jeep,Renegade,2013,51214.72,5587.51
2479.27,40,Peugeot,207,2022,28404.77,1230.69
6470.71,53,Honda,Civic,2010,52442.92,2018.57
6239.53,18,Honda,Civic,2016,86205.28,8201.59
9781.76,40,Honda,Accord,2019,210702.22,9580.09
10973.29,41,BYD,Yuan Plus,2018,141751.42,6335.31
7733.85,47,Honda,City Hatchback,2021,83482.43,3338.44
4967.11,23,Kia,Sorento,2017,142649.54,12346.54
8488.57,22,Volkswagen,Jetta,2018,108475.54,11209.64
3340.89,44,Citroen,C4 Lounge,2017,33006.35,1808.89
3987.02,41,Chevrolet,Corsa,2021,30206.44,1931.39
4586.83,41,Volkswagen,Saveiro,2018,50079.93,2972.25
5464.93,42,Toyota,Yaris Sedan,2016,44052.48,2558.33
2770.4,29,Hyundai,i30,2014,27212.91,1834.38
12170.8,40,Suzuki,Swift,2024,46611.33,2354.6
3462.23,41,Hyundai,Kona,2018,101486.43,7021.35
1600.0,29,Hyundai,Tucson,2015,100654.34,6307.63
14679.3,60,Nissan,Tiida,2022,33780.55,2058.27
9613.74,43,Toyota,Corolla Cross,2013,64027.94,3250.97
5571.67,23,Hyundai,i30,2024,45024.66,3188.43
9532.34,45,Chevrolet,Astra,2013,16119.59,1100.0
6363.4,26,Volkswagen,Fox,2020,39483.9,2962.34
14533.6,47,Suzuki,Grand Vitara,2024,79315.68,3270.44
4913.3,51,Toyota,Yaris,2025,93495.62,3574.39
16716.45,28,Volvo,C40,2021,234970.38,18358.85
13057.7,49,Suzuki,Vitara,2012,50059.93,2548.58
4967.18,42,Volkswagen,Golf,2020,73636.05,3754.86
4746.04,47,Fiat,Toro,2020,102282.93,5283.12
9017.62,60,CAOA Chery,Tiggo 8,2018,112390.25,7582.59
3432.22,35,Citroen,C3 Aircross,2018,72781.54,3521.41
5424.14,28,Nissan,Versa,2020,68208.28,4340.36
13190.6,27,Kia,Niro,2022,131104.64,8286.56
6792.87,28,Toyota,Hilux,2010,68588.3,4677.14
22647.2,37,BMW,118i,2024,274466.17,17861.06
4517.92,42,Hyundai,Kona,2024,164084.95,8480.45
9091.3,41,CAOA Chery,iCar,2008,32555.75,1991.15
5434.58,47,Honda,City,2010,24556.52,1268.46
6021.28,38,Kia,Picanto,2009,22000.0,1100.0
10618.15,55,Toyota,Yaris Sedan,2012,36572.25,1877.26
4259.03,34,Renault,Kwid,2017,33191.03,1859.74
5271.06,70,BYD,Yuan Plus,2011,75849.74,4870.79
5544.66,45,Citroen,Basalt,2019,62907.84,3667.14
4422.95,27,Hyundai,HB20,2024,86108.78,5852.8
3288.56,25,Fiat,Pulse,2012,30557.76,2207.43
16478.75,43,Lexus,NX 350h,2016,230069.09,13477.3
5521.83,35,Volkswagen,Virtus,2020,77888.63,2837.96
11867.78,46,Honda,Fit,2024,71846.88,3047.71
11068.22,43,Renault,Duster,2024,137080.02,7119.32
12179.85,37,Toyota,Camry,2014,112437.52,5373.72
2784.45,27,Hyundai,Tucson,2015,84445.76,5604.95
4490.5,19,Hyundai,HB20S,2019,53457.26,5255.85
9505.55,32,Fiat,Toro,2019,90901.42,5594.76
5226.77,48,Mercedes-Benz,C180,2019,203643.3,11872.4
16414.41,40,BYD,Song Plus,2020,162733.0,8577.44
2830.7,23,Citroen,C4 Lounge,2013,21359.04,1874.7
11145.72,40,Volkswagen,Tiguan,2023,228909.85,11251.21
5450.25,42,Chevrolet,Prisma,2017,35428.31,1991.92
11114.26,27,Honda,CR-V,2025,231990.3,13576.77
8018.03,39,Renault,Clio,2020,20538.42,1100.0
4157.97,38,Nissan,Frontier,2005,58770.47,2661.28
9394.41,24,Jeep,Grand Cherokee,2010,125504.63,11038.88
2591.34,42,Chevrolet,Corsa,2018,19497.77,1162.41
5881.95,44,Mitsubishi,ASX,2015,36723.1,1796.03
5837.86,50,Nissan,Sentra,2024,137975.42,7436.66
9770.93,50,Fiat,Toro,2024,135812.56,6196.33
1600.0,21,Volkswagen,Tiguan,2009,55899.98,5654.56
6840.27,26,BYD,Seal,2008,68066.99,4791.26
8933.72,44,Chevrolet,Montana,2018,66863.76,3883.09
4540.25,44,Ford,Fiesta,2015,21068.59,1100.0
6033.99,44,Kia,Picanto,2024,49712.27,1675.2
8869.43,78,Hyundai,HB20S,2022,70180.76,3940.06
12459.24,44,Citroen,C3,2025,66666.35,3136.76
2185.73,51,Suzuki,Swift,2020,39454.2,1686.67
7290.22,49,Hyundai,HB20S,2013,32885.67,2093.53
9595.61,45,Renault,Logan,2017,55321.32,3327.47
9368.68,34,Chevrolet,Cruze,2013,44242.7,2225.58
6519.48,47,Chevrolet,Celta,2024,28620.21,1410.76
8523.23,28,Citroen,Basalt,2012,33493.46,1977.0
6310.78,35,Nissan,Sentra,2005,22000.0,1303.47
12268.98,32,Peugeot,308,2020,46476.49,2165.34
4182.88,38,Kia,Stonic,2021,120043.16,6176.51
5870.65,65,Ford,Fusion,2016,52387.05,3162.49
7098.94,18,Fiat,Fiorino,2023,90993.28,10104.07
10667.64,46,Fiat,Mobi,2025,73426.34,4439.67
7268.73,18,Toyota,Yaris Sedan,2023,108463.51,9908.27
4985.91,32,Hyundai,Azera,2015,51871.29,3053.78
6048.58,51,Volkswagen,Golf,2007,33169.54,1616.75
6742.04,38,Honda,Civic,2025,201486.75,9187.38
3117.73,25,Volkswagen,Gol,2019,33672.66,2652.06
3847.67,29,Renault,Logan,2015,33421.9,2128.89
17115.29,46,Nissan,Versa,2015,51342.23,1787.37
5609.99,29,Renault,Sandero,2014,30675.95,2287.42
5110.09,40,BYD,Song Plus,2014,116307.54,4908.52
4851.78,38,Honda,CR-V,2022,191338.46,8589.92
7394.22,30,GWM,Haval H6 GT,2024,227402.43,10787.4
28822.56,63,BMW,320i,2025,342619.33,23251.1
14157.2,45,BYD,King,2016,92248.19,4995.1
2541.0,18,Mitsubishi,Outlander,2007,50878.37,4628.48
14576.97,40,Mitsubishi,Lancer,2017,46659.54,2236.86
3850.72,30,Volkswagen,T-Cross,2023,125437.88,7600.81
5129.15,48,Fiat,Cronos,2008,17810.99,1100.0
4662.19,28,Mercedes-Benz,G63,2015,870160.63,77205.64
3366.83,36,Mitsubishi,Outlander,2018,147840.78,7057.52
15171.69,44,Mitsubishi,ASX,2011,28433.7,1422.32
5335.66,48,Volkswagen,Amarok,2013,111456.34,7306.03
1708.97,23,Fiat,Punto,2014,18445.85,1247.7
3945.89,33,Peugeot,3008,2013,76304.58,3992.35
7156.9,32,Fiat,Cronos,2009,31421.29,2144.89
2303.21,30,Renault,Kardian,2024,109266.78,6098.42
9606.86,59,Ford,Territory,2006,43114.75,3208.6
4218.05,42,Honda,City,2020,80819.17,3807.49
10896.06,22,Fiat,Fiorino,2015,47820.63,4900.37
9813.74,49,Volkswagen,Voyage,2021,46460.29,1695.46
8891.47,63,Chevrolet,Onix,2022,61830.9,4366.42
3096.48,50,BYD,Dolphin Mini,2021,88440.05,4533.16
2602.99,19,Hyundai,Santa Fe,2024,256170.81,28582.74
4563.34,32,GWM,Tank 300,2024,306674.9,13598.65
6837.69,53,Toyota,Etios,2008,22000.0,1232.59
14995.65,29,BMW,X1,2014,126909.98,10347.57
8465.57,43,Chevrolet,Celta,2017,21009.64,1100.0
5925.99,47,Renault,Logan,2020,56883.46,2863.2
14056.56,26,Peugeot,308,2025,64289.38,4610.73
6379.06,37,Ford,EcoSport,2017,35616.87,1930.12
6988.36,18,Hyundai,Kona,2012,75335.48,8072.28
14545.37,25,Porsche,Taycan,2020,476996.18,43929.34
9876.7,34,Jeep,Wrangler,2022,387788.23,13820.55
7459.44,23,Audi,Q7,2006,130260.8,15907.31
11318.74,57,Renault,Clio,2016,16655.9,1100.0
5360.62,20,Ford,Ranger,2011,83464.76,6269.3
6538.03,32,Volkswagen,Saveiro,2024,83976.67,4315.17
2735.52,39,Chevrolet,Corsa,2020,29552.98,1323.34
5266.08,55,Peugeot,308,2015,27763.86,1655.33
5412.86,20,Hyundai,Creta,2007,23009.11,2331.57
10038.49,51,Fiat,Argo,2009,22149.95,1299.52
5278.29,38,Fiat,Uno,2021,36352.2,2463.86
23888.38,26,Jeep,Commander,2006,58245.32,3862.18
11247.24,43,Fiat,Toro,2021,113609.25,4900.89
7992.31,40,CAOA Chery,Tiggo 8,2021,155127.73,6995.53
2701.64,30,Renault,Kwid,2021,49111.38,1934.71
6566.9,38,Jeep,Commander,2017,129226.7,6920.53
8674.98,33,Chevrolet,Onix,2018,46207.17,2204.33
6495.94,39,Nissan,Sentra,2018,78259.31,3195.47
6723.75,45,Hyundai,Creta,2014,55281.59,3348.29
7374.82,57,Land Rover,Defender,2015,269087.9,17628.46
3838.59,23,Volkswagen,Jetta,2018,121453.18,9642.49
4109.93,63,Peugeot,3008,2017,118152.59,9362.09
19282.29,18,Kia,Niro,2021,148172.36,15784.88
3719.35,36,Fiat,Uno,2013,19618.66,1117.74
5539.55,45,Volkswagen,Amarok,2012,93417.85,4861.49
8101.4,41,Volkswagen,Amarok,2022,240199.71,11536.25
1895.66,30,Hyundai,i30,2023,55546.79,3009.77
16214.56,35,Ford,EcoSport,2018,53480.36,2270.8
12577.67,32,Nissan,Sentra,2018,77114.76,4016.73
2611.77,30,Fiat,Titano,2024,220877.88,10254.12
6192.0,48,Ford,Ka,2006,14000.0,1100.0
12295.68,42,Nissan,Kicks,2025,130633.23,4816.08
6097.94,29,Hyundai,HB20,2022,74254.58,4878.81
13336.26,48,Jeep,Cherokee,2023,97577.34,4787.3
16958.54,41,Jeep,Compass,2023,152720.92,8155.17
4574.83,47,Chevrolet,S10,2016,117962.91,8107.77
9526.54,45,Fiat,Fiorino,2025,97217.73,4007.62
3039.86,28,Volkswagen,Virtus,2021,81661.5,5280.18
4822.86,31,Honda,CR-V,2022,222350.39,10723.01
7632.81,46,Fiat,Fiorino,2021,66140.35,3094.77
7908.61,45,Kia,Niro,2023,205335.83,7405.43
4106.71,37,Ford,Fusion,2019,69926.23,3738.63
9690.83,39,Renault,Kardian,2020,71586.34,3652.73
3331.85,53,Chevrolet,Spin,2024,102274.92,5239.64
3746.9,30,Chevrolet,Tracker,2018,79088.28,3982.18
13404.47,44,Fiat,Toro,2022,139657.61,6026.32
4143.93,35,Peugeot,207,2011,14443.48,1100.0
7709.64,35,Chevrolet,Montana,2024,103605.49,5042.73
19800.79,51,Toyota,Corolla,2022,140398.67,5263.24
7323.13,47,Audi,A1,2022,73306.88,4349.64
16134.74,47,Mitsubishi,Outlander,2016,98632.47,4696.8
3559.31,53,Peugeot,208,2024,90066.28,4815.19
4822.24,38,Honda,ZR-V,2018,117429.32,6343.93
8335.66,46,Audi,A5,2025,391025.07,25425.84
3583.39,34,Hyundai,Santa Fe,2022,246577.97,14849.01
5346.55,41,Nissan,Kicks,2011,47003.08,2570.42
7235.47,36,Mitsubishi,ASX,2013,34630.37,1560.27
7557.62,39,Ford,EcoSport,2013,24595.35,1100.0
6057.84,45,Fiat,Strada,2024,95676.02,4642.67
